DATE,BIVA VALUE,BIVA VOLUME,BIVA TRADES,BMV VALUE,BMV VOLUME,BMV TRADES,BIVA VALUE MARKET SHARE,BIVA VOLUME MARKET SHARE,BIVA TRADES MARKET SHARE,BMV VALUE MARKET SHARE,BMV VOLUME MARKET SHARE,BMV TRADES MARKET SHARE
26/12/2018,"1,148,413,278.10","2,335,473","4,732","7,287,794,651.35","122,243,767","165,984",13.61,1.87,2.77,86.39,98.13,97.23
27/12/2018,"165,420,766.87","1,954,970","4,195","8,569,906,665.11","155,835,279","289,473",1.89,1.24,1.43,98.11,98.76,98.57
28/12/2018,"1,316,992,518.06","1,530,555","2,160","9,905,787,054.23","129,631,991","207,101",11.73,1.17,1.03,88.27,98.83,98.97
31/12/2018,"572,347,628.03","1,750,335","1,886","4,171,478,585.87","104,401,560","145,189",12.07,1.65,1.28,87.93,98.35,98.72
02/01/2019,"77,642,193.46","1,068,625","2,368","7,892,737,399.98","101,581,186","228,961",0.97,1.04,1.02,99.03,98.96,98.98
03/01/2019,"376,012,617.28","1,179,914","2,436","8,465,457,557.32","158,712,955","300,141",4.25,0.74,0.81,95.75,99.26,99.19
04/01/2019,"691,110,692.41","4,501,766","3,328","19,307,342,659.25","181,972,764","295,391",3.46,2.41,1.11,96.54,97.59,98.89
07/01/2019,"760,771,012.75","2,155,684","3,775","12,299,606,560.16","213,457,776","282,609",5.83,1.00,1.32,94.17,99.00,98.68
08/01/2019,"357,195,207.66","2,802,473","4,081","15,936,718,931.56","264,098,090","343,997",2.19,1.05,1.17,97.81,98.95,98.83
09/01/2019,"1,960,329,472.45","2,924,261","4,740","17,604,886,706.60","356,597,101","409,288",10.02,0.81,1.14,89.98,99.19,98.86
10/01/2019,"3,761,932,796.35","12,832,221","4,699","15,266,012,921.26","284,996,410","348,286",19.77,4.31,1.33,80.23,95.69,98.67
11/01/2019,"2,738,435,348.75","3,720,635","3,396","21,313,077,624.93","228,104,678","349,037",11.39,1.60,0.96,88.61,98.40,99.04
14/01/2019,"126,543,280.84","1,320,888","2,785","12,644,005,945.23","194,671,584","335,663",0.99,0.67,0.82,99.01,99.33,99.18
15/01/2019,"1,375,582,484.91","13,850,834","4,354","22,442,179,487.64","311,097,759","376,079",5.78,4.26,1.14,94.22,95.74,98.86
16/01/2019,"1,705,915,779.87","15,805,507","7,160","12,915,118,409.77","284,896,349","391,363",11.67,5.26,1.80,88.33,94.74,98.20
17/01/2019,"554,929,283.89","11,107,757","4,578","16,499,355,601.64","340,986,623","349,196",3.25,3.15,1.29,96.75,96.85,98.71
18/01/2019,"396,028,177.81","6,192,769","6,019","14,000,389,366.33","286,652,447","356,546",2.75,2.11,1.66,97.25,97.89,98.34
21/01/2019,"13,290,851.75","423,398","1,364","3,064,010,751.40","79,127,714","153,101",0.43,0.53,0.88,99.57,99.47,99.12
22/01/2019,"443,605,261.17","6,946,315","5,154","13,250,580,323.88","247,151,779","362,673",3.24,2.73,1.40,96.76,97.27,98.60
23/01/2019,"306,408,119.58","4,982,515","4,625","13,317,152,245.62","353,701,522","363,227",2.25,1.39,1.26,97.75,98.61,98.74
24/01/2019,"178,486,583.92","2,081,968","5,277","15,571,061,400.69","260,389,189","372,829",1.13,0.79,1.40,98.87,99.21,98.60
25/01/2019,"1,112,929,559.28","1,910,584","5,718","13,816,215,103.69","222,691,500","298,057",7.45,0.85,1.88,92.55,99.15,98.12
28/01/2019,"663,734,633.56","3,222,794","5,432","13,276,808,248.95","308,860,753","374,651",4.76,1.03,1.43,95.24,98.97,98.57
29/01/2019,"269,715,901.15","2,416,521","8,815","13,270,577,401.61","304,077,491","368,018",1.99,0.79,2.34,98.01,99.21,97.66
30/01/2019,"825,585,884.44","4,019,862","9,380","15,531,832,652.43","267,520,570","373,735",5.05,1.48,2.45,94.95,98.52,97.55
31/01/2019,"435,208,126.70","3,473,845","9,811","14,891,261,231.89","249,506,700","381,899",2.84,1.37,2.50,97.16,98.63,97.50
01/02/2019,"1,852,643,729.68","3,148,139","4,952","11,882,786,939.23","206,213,206","308,287",13.49,1.50,1.58,86.51,98.50,98.42
05/02/2019,"221,565,004.56","3,113,624","6,564","13,016,235,974.79","205,907,122","288,463",1.67,1.49,2.22,98.33,98.51,97.78
06/02/2019,"719,658,069.33","17,270,500","7,698","14,362,991,150.69","261,781,494","319,432",4.77,6.19,2.35,95.23,93.81,97.65
07/02/2019,"475,607,913.66","4,647,090","7,623","12,501,971,141.88","225,314,974","278,947",3.66,2.02,2.66,96.34,97.98,97.34
08/02/2019,"193,738,581.68","2,621,319","9,471","8,833,534,166.48","162,519,858","328,293",2.15,1.59,2.80,97.85,98.41,97.20
11/02/2019,"602,338,333.72","2,719,703","12,985","10,458,285,229.69","153,640,203","239,338",5.45,1.74,5.15,94.55,98.26,94.85
12/02/2019,"1,842,779,375.21","5,715,850","8,121","18,058,562,513.48","257,075,871","371,095",9.26,2.18,2.14,90.74,97.82,97.86
13/02/2019,"383,353,788.05","4,530,391","8,038","15,044,288,440.45","299,336,665","455,227",2.48,1.49,1.74,97.52,98.51,98.26
14/02/2019,"274,126,574.71","6,973,714","8,913","13,636,966,088.45","274,937,947","358,920",1.97,2.47,2.42,98.03,97.53,97.58
15/02/2019,"232,715,207.38","1,991,118","6,000","12,844,369,600.45","208,521,777","288,754",1.78,0.95,2.04,98.22,99.05,97.96
18/02/2019,"6,822,971.61","211,205","1,278","1,641,956,766.53","35,115,937","116,718",0.41,0.60,1.08,99.59,99.40,98.92
19/02/2019,"318,669,423.88","2,492,805","5,201","15,486,549,573.83","247,858,782","292,043",2.02,1.00,1.75,97.98,99.00,98.25
20/02/2019,"502,284,208.14","4,108,301","8,673","15,356,770,623.86","248,405,405","400,788",3.17,1.63,2.12,96.83,98.37,97.88
21/02/2019,"688,256,704.46","13,376,147","6,163","15,470,449,086.14","237,156,075","396,295",4.26,5.34,1.53,95.74,94.66,98.47
22/02/2019,"2,360,078,236.71","6,514,247","5,558","17,803,693,631.17","234,767,929","400,270",11.70,2.70,1.37,88.30,97.30,98.63
25/02/2019,"310,373,007.17","3,332,946","8,574","13,953,541,318.98","234,848,458","416,417",2.18,1.40,2.02,97.82,98.60,97.98
